sample_id,sample_group,label_type,label,chatgpt_label,doubao_label,human_label,mixed_reference,reference_source,regex_prediction,reference_internal_label,included_in_evaluation
P0014,需要對話上下文,領域,數學領域,,,否,否,人工金標,,是,否
P0014,需要對話上下文,任務,教材編寫,,,否,否,人工金標,,是,否
P0015,一般代表樣本,領域,醫學領域,,,是,是,人工金標,是,是,否
P0015,一般代表樣本,領域,工程領域,,,是,是,人工金標,否,是,否
P0015,一般代表樣本,領域,商業領域,,,是,是,人工金標,是,是,否
P0015,一般代表樣本,領域,其他／未明領域,,,否,否,人工金標,否,是,否
P0015,一般代表樣本,任務,編製PPT,,,是,是,人工金標,是,是,否
P0015,一般代表樣本,任務,撰寫文檔,,,是,是,人工金標,是,是,否
P0015,一般代表樣本,任務,撰寫程式,,,是,是,人工金標,是,是,否
P0015,一般代表樣本,任務,問題回答,,,是,是,人工金標,是,是,否
P0015,一般代表樣本,任務,其他任務,,,否,否,人工金標,否,是,否
P0015,一般代表樣本,內部提示,Codex內部提示,,,是,是,人工金標,否,是,是
P0015,一般代表樣本,領域,數學領域,,,否,否,人工金標,,是,否
P0015,一般代表樣本,任務,教材編寫,,,是,是,人工金標,,是,否
P0016,高費用Prompt,領域,醫學領域,,,否,否,人工金標,否,是,否
P0016,高費用Prompt,領域,工程領域,,,是,是,人工金標,否,是,否
P0016,高費用Prompt,領域,商業領域,,,是,是,人工金標,是,是,否
P0016,高費用Prompt,領域,其他／未明領域,,,否,否,人工金標,否,是,否
P0016,高費用Prompt,任務,編製PPT,,,否,否,人工金標,否,是,否
P0016,高費用Prompt,任務,撰寫文檔,,,是,是,人工金標,是,是,否
P0016,高費用Prompt,任務,撰寫程式,,,是,是,人工金標,是,是,否
P0016,高費用Prompt,任務,問題回答,,,是,是,人工金標,是,是,否
P0016,高費用Prompt,任務,其他任務,,,否,否,人工金標,否,是,否
P0016,高費用Prompt,內部提示,Codex內部提示,,,是,是,人工金標,否,是,是
P0016,高費用Prompt,領域,數學領域,,,是,是,人工金標,,是,否
P0016,高費用Prompt,任務,教材編寫,,,否,否,人工金標,,是,否
P0017,未明／規則弱點,領域,醫學領域,是,否,否,否,人工金標,是,否,是
P0017,未明／規則弱點,領域,工程領域,是,是,,是,雙AI共識,是,否,是
P0017,未明／規則弱點,領域,商業領域,否,否,,否,雙AI共識,否,否,是
P0017,未明／規則弱點,領域,其他／未明領域,否,否,,否,雙AI共識,否,否,是
P0017,未明／規則弱點,任務,編製PPT,否,否,,否,雙AI共識,否,否,是
P0017,未明／規則弱點,任務,撰寫文檔,否,否,,否,雙AI共識,否,否,是
P0017,未明／規則弱點,任務,撰寫程式,是,否,否,否,人工金標,否,否,是
P0017,未明／規則弱點,任務,問題回答,是,是,,是,雙AI共識,是,否,是
P0017,未明／規則弱點,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0017,未明／規則弱點,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0017,未明／規則弱點,領域,數學領域,是,否,否,否,人工金標,,否,否
P0017,未明／規則弱點,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0018,一般代表樣本,領域,醫學領域,是,否,,,未解決,是,是,否
P0018,一般代表樣本,領域,工程領域,是,是,,是,雙AI共識,是,是,否
P0018,一般代表樣本,領域,商業領域,否,否,,否,雙AI共識,否,是,否
P0018,一般代表樣本,領域,其他／未明領域,否,否,,否,雙AI共識,否,是,否
P0018,一般代表樣本,任務,編製PPT,否,否,,否,雙AI共識,否,是,否
P0018,一般代表樣本,任務,撰寫文檔,是,否,,,未解決,否,是,否
P0018,一般代表樣本,任務,撰寫程式,是,否,,,未解決,是,是,否
P0018,一般代表樣本,任務,問題回答,是,否,,,未解決,是,是,否
P0018,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,是,否
P0018,一般代表樣本,內部提示,Codex內部提示,是,是,,是,雙AI共識,否,是,是
P0018,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,是,否
P0018,一般代表樣本,任務,教材編寫,否,否,,否,雙AI共識,,是,否
P0019,一般代表樣本,領域,醫學領域,是,否,,,未解決,是,否,否
P0019,一般代表樣本,領域,工程領域,否,否,,否,雙AI共識,否,否,是
P0019,一般代表樣本,領域,商業領域,否,否,,否,雙AI共識,否,否,是
P0019,一般代表樣本,領域,其他／未明領域,否,是,,,未解決,否,否,否
P0019,一般代表樣本,任務,編製PPT,是,是,,是,雙AI共識,是,否,是
P0019,一般代表樣本,任務,撰寫文檔,是,是,,是,雙AI共識,是,否,是
P0019,一般代表樣本,任務,撰寫程式,否,否,,否,雙AI共識,否,否,是
P0019,一般代表樣本,任務,問題回答,否,否,,否,雙AI共識,否,否,是
P0019,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0019,一般代表樣本,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0019,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,否,否
P0019,一般代表樣本,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0020,一般代表樣本,領域,醫學領域,否,否,,否,雙AI共識,否,,否
P0020,一般代表樣本,領域,工程領域,是,否,,,未解決,是,,否
P0020,一般代表樣本,領域,商業領域,是,是,,是,雙AI共識,是,,否
P0020,一般代表樣本,領域,其他／未明領域,否,否,,否,雙AI共識,否,,否
P0020,一般代表樣本,任務,編製PPT,否,否,,否,雙AI共識,否,,否
P0020,一般代表樣本,任務,撰寫文檔,是,是,,是,雙AI共識,否,,否
P0020,一般代表樣本,任務,撰寫程式,是,否,,,未解決,是,,否
P0020,一般代表樣本,任務,問題回答,是,否,,,未解決,是,,否
P0020,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,,否
P0020,一般代表樣本,內部提示,Codex內部提示,是,否,,,未解決,否,,否
P0020,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,,否
P0020,一般代表樣本,任務,教材編寫,否,否,,否,雙AI共識,,,否
P0021,多標籤Prompt,領域,醫學領域,否,否,,否,雙AI共識,否,否,是
P0021,多標籤Prompt,領域,工程領域,是,是,,是,雙AI共識,是,否,是
P0021,多標籤Prompt,領域,商業領域,否,否,,否,雙AI共識,否,否,是
P0021,多標籤Prompt,領域,其他／未明領域,否,否,,否,雙AI共識,否,否,是
P0021,多標籤Prompt,任務,編製PPT,是,是,,是,雙AI共識,是,否,是
P0021,多標籤Prompt,任務,撰寫文檔,是,否,,,未解決,是,否,否
P0021,多標籤Prompt,任務,撰寫程式,否,否,,否,雙AI共識,否,否,是
P0021,多標籤Prompt,任務,問題回答,否,否,,否,雙AI共識,否,否,是
P0021,多標籤Prompt,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0021,多標籤Prompt,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0021,多標籤Prompt,領域,數學領域,是,是,,是,雙AI共識,,否,否
P0021,多標籤Prompt,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0022,一般代表樣本,領域,醫學領域,是,否,,,未解決,是,否,否
P0022,一般代表樣本,領域,工程領域,是,是,,是,雙AI共識,是,否,是
P0022,一般代表樣本,領域,商業領域,否,否,,否,雙AI共識,否,否,是
P0022,一般代表樣本,領域,其他／未明領域,否,否,,否,雙AI共識,否,否,是
P0022,一般代表樣本,任務,編製PPT,否,否,,否,雙AI共識,否,否,是
P0022,一般代表樣本,任務,撰寫文檔,否,否,,否,雙AI共識,否,否,是
P0022,一般代表樣本,任務,撰寫程式,是,是,,是,雙AI共識,是,否,是
P0022,一般代表樣本,任務,問題回答,否,否,,否,雙AI共識,否,否,是
P0022,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0022,一般代表樣本,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0022,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,否,否
P0022,一般代表樣本,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0023,高費用Prompt,領域,醫學領域,否,否,,否,雙AI共識,否,否,是
P0023,高費用Prompt,領域,工程領域,是,是,,是,雙AI共識,是,否,是
P0023,高費用Prompt,領域,商業領域,否,否,,否,雙AI共識,否,否,是
P0023,高費用Prompt,領域,其他／未明領域,否,否,,否,雙AI共識,否,否,是
P0023,高費用Prompt,任務,編製PPT,否,否,,否,雙AI共識,否,否,是
P0023,高費用Prompt,任務,撰寫文檔,否,否,,否,雙AI共識,否,否,是
P0023,高費用Prompt,任務,撰寫程式,是,是,,是,雙AI共識,否,否,是
P0023,高費用Prompt,任務,問題回答,是,否,,,未解決,是,否,否
P0023,高費用Prompt,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0023,高費用Prompt,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0023,高費用Prompt,領域,數學領域,否,否,,否,雙AI共識,,否,否
P0023,高費用Prompt,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0024,多標籤Prompt,領域,醫學領域,是,是,,是,雙AI共識,是,否,是
P0024,多標籤Prompt,領域,工程領域,是,否,,,未解決,否,否,否
P0024,多標籤Prompt,領域,商業領域,是,否,,,未解決,是,否,否
P0024,多標籤Prompt,領域,其他／未明領域,否,否,,否,雙AI共識,否,否,是
P0024,多標籤Prompt,任務,編製PPT,否,否,,否,雙AI共識,否,否,是
P0024,多標籤Prompt,任務,撰寫文檔,是,是,,是,雙AI共識,是,否,是
P0024,多標籤Prompt,任務,撰寫程式,是,否,,,未解決,否,否,否
P0024,多標籤Prompt,任務,問題回答,是,否,,,未解決,是,否,否
P0024,多標籤Prompt,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0024,多標籤Prompt,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0024,多標籤Prompt,領域,數學領域,是,否,,,未解決,,否,否
P0024,多標籤Prompt,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0025,一般代表樣本,領域,醫學領域,否,否,,否,雙AI共識,否,,否
P0025,一般代表樣本,領域,工程領域,是,否,,,未解決,是,,否
P0025,一般代表樣本,領域,商業領域,是,否,,,未解決,是,,否
P0025,一般代表樣本,領域,其他／未明領域,否,是,,,未解決,否,,否
P0025,一般代表樣本,任務,編製PPT,否,否,,否,雙AI共識,否,,否
P0025,一般代表樣本,任務,撰寫文檔,是,是,,是,雙AI共識,否,,否
P0025,一般代表樣本,任務,撰寫程式,是,否,,,未解決,否,,否
P0025,一般代表樣本,任務,問題回答,是,否,,,未解決,是,,否
P0025,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,,否
P0025,一般代表樣本,內部提示,Codex內部提示,是,否,,,未解決,否,,否
P0025,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,,否
P0025,一般代表樣本,任務,教材編寫,否,否,,否,雙AI共識,,,否
P0026,一般代表樣本,領域,醫學領域,否,否,,否,雙AI共識,否,否,是
P0026,一般代表樣本,領域,工程領域,是,是,,是,雙AI共識,是,否,是
P0026,一般代表樣本,領域,商業領域,否,否,,否,雙AI共識,否,否,是
P0026,一般代表樣本,領域,其他／未明領域,否,否,,否,雙AI共識,否,否,是
P0026,一般代表樣本,任務,編製PPT,是,否,,,未解決,是,否,否
P0026,一般代表樣本,任務,撰寫文檔,否,否,,否,雙AI共識,否,否,是
P0026,一般代表樣本,任務,撰寫程式,是,否,,,未解決,是,否,否
P0026,一般代表樣本,任務,問題回答,是,否,,,未解決,是,否,否
P0026,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0026,一般代表樣本,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0026,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,否,否
P0026,一般代表樣本,任務,教材編寫,是,是,,是,雙AI共識,,否,否
P0027,需要對話上下文,領域,醫學領域,是,否,,,未解決,是,否,否
P0027,需要對話上下文,領域,工程領域,是,否,,,未解決,是,否,否
P0027,需要對話上下文,領域,商業領域,是,否,,,未解決,是,否,否
P0027,需要對話上下文,領域,其他／未明領域,否,是,,,未解決,否,否,否
P0027,需要對話上下文,任務,編製PPT,否,否,,否,雙AI共識,否,否,是
P0027,需要對話上下文,任務,撰寫文檔,是,是,,是,雙AI共識,是,否,是
P0027,需要對話上下文,任務,撰寫程式,是,否,,,未解決,否,否,否
P0027,需要對話上下文,任務,問題回答,是,否,,,未解決,是,否,否
P0027,需要對話上下文,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0027,需要對話上下文,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0027,需要對話上下文,領域,數學領域,否,否,,否,雙AI共識,,否,否
P0027,需要對話上下文,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0028,一般代表樣本,領域,醫學領域,是,是,,是,雙AI共識,是,否,是
P0028,一般代表樣本,領域,工程領域,否,否,,否,雙AI共識,否,否,是
P0028,一般代表樣本,領域,商業領域,是,否,,,未解決,是,否,否
P0028,一般代表樣本,領域,其他／未明領域,否,否,,否,雙AI共識,否,否,是
P0028,一般代表樣本,任務,編製PPT,否,否,,否,雙AI共識,否,否,是
P0028,一般代表樣本,任務,撰寫文檔,否,否,,否,雙AI共識,否,否,是
P0028,一般代表樣本,任務,撰寫程式,否,否,,否,雙AI共識,否,否,是
P0028,一般代表樣本,任務,問題回答,是,是,,是,雙AI共識,是,否,是
P0028,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,否,是
P0028,一般代表樣本,內部提示,Codex內部提示,否,否,,否,雙AI共識,否,否,是
P0028,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,否,否
P0028,一般代表樣本,任務,教材編寫,否,否,,否,雙AI共識,,否,否
P0029,一般代表樣本,領域,醫學領域,是,否,,,未解決,否,,否
P0029,一般代表樣本,領域,工程領域,是,是,,是,雙AI共識,是,,否
P0029,一般代表樣本,領域,商業領域,否,否,,否,雙AI共識,否,,否
P0029,一般代表樣本,領域,其他／未明領域,否,是,,,未解決,否,,否
P0029,一般代表樣本,任務,編製PPT,否,否,,否,雙AI共識,否,,否
P0029,一般代表樣本,任務,撰寫文檔,是,否,,,未解決,是,,否
P0029,一般代表樣本,任務,撰寫程式,是,否,,,未解決,是,,否
P0029,一般代表樣本,任務,問題回答,是,否,,,未解決,是,,否
P0029,一般代表樣本,任務,其他任務,否,否,,否,雙AI共識,否,,否
P0029,一般代表樣本,內部提示,Codex內部提示,否,是,,,未解決,否,,否
P0029,一般代表樣本,領域,數學領域,否,否,,否,雙AI共識,,,否
P0029,一般代表樣本,任務,教材編寫,否,否,,否,雙AI共識,,,否
P0030,需要對話上下文,領域,醫學領域,否,否,,否,雙AI共識,否,否,是
P0030,需要對話上下文,領域,工程領域,是,否,,,未解決,否,否,否
P0030,需要對話上下文,領域,商業領域,否,否,,否,雙AI共識,否,否,是
P0030,需要對話上下文,領域,其他／未明領域,是,是,,是,雙AI共識,是,否,是
P0030,需要對話上下文,任務,編製PPT,是,是,,是,雙AI共識,是,否,是
