sample_id,sample_group,醫學領域,工程領域,商業領域,其他／未明領域,編製PPT,撰寫文檔,撰寫程式,問題回答,其他任務,Codex內部提示,數學領域,教材編寫,resolved_label_count,unresolved_label_count,reference_profile
P0096,一般代表樣本,是,否,否,,否,否,否,否,是,否,否,否,11,1,人工0／共識11／未解決1
P0097,一般代表樣本,否,是,否,,否,是,,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0098,一般代表樣本,,,否,否,否,,,,否,否,是,是,7,5,人工0／共識7／未解決5
P0099,一般代表樣本,否,是,否,否,否,否,否,是,否,否,否,否,12,0,人工0／共識12／未解決0
P0100,高費用Prompt,否,是,否,否,否,否,是,否,否,否,否,否,12,0,人工0／共識12／未解決0
P0101,需要對話上下文,否,,否,,否,否,否,是,否,否,否,否,10,2,人工0／共識10／未解決2
P0102,需要對話上下文,是,否,否,否,否,是,,,否,否,否,,9,3,人工0／共識9／未解決3
P0103,多標籤Prompt,,是,,,否,否,是,是,否,是,否,,8,4,人工0／共識8／未解決4
P0104,多標籤Prompt,是,是,否,否,是,,,,,否,否,,7,5,人工0／共識7／未解決5
P0105,一般代表樣本,是,,否,否,是,否,否,否,,否,否,否,10,2,人工0／共識10／未解決2
P0106,一般代表樣本,否,是,否,否,否,,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0107,一般代表樣本,,,是,否,否,,,是,否,否,否,否,8,4,人工0／共識8／未解決4
P0108,一般代表樣本,否,是,,,否,,否,是,否,否,否,否,9,3,人工0／共識9／未解決3
P0109,一般代表樣本,否,否,是,否,是,否,否,否,否,否,否,否,12,0,人工0／共識12／未解決0
P0110,一般代表樣本,否,,,否,否,,,,否,否,是,是,7,5,人工0／共識7／未解決5
P0111,Codex內部提示,否,,是,否,否,,,,否,,否,否,7,5,人工0／共識7／未解決5
P0112,Codex內部提示,,,否,否,否,是,否,,否,是,,,7,5,人工0／共識7／未解決5
P0113,一般代表樣本,是,否,否,否,,是,,,否,否,否,,8,4,人工0／共識8／未解決4
P0114,未明／規則弱點,,是,否,,是,,,,,否,否,,5,7,人工0／共識5／未解決7
P0115,高費用Prompt,否,是,否,否,否,否,是,否,否,否,否,,11,1,人工0／共識11／未解決1
P0116,需要對話上下文,否,否,,,否,是,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0117,一般代表樣本,是,否,,否,是,,否,,,否,否,否,8,4,人工0／共識8／未解決4
P0118,未明／規則弱點,是,,否,否,否,,,,,否,否,否,7,5,人工0／共識7／未解決5
P0119,高費用Prompt,否,是,否,否,否,否,是,否,否,否,否,否,12,0,人工0／共識12／未解決0
P0120,一般代表樣本,否,是,,否,是,,,,否,否,,是,7,5,人工0／共識7／未解決5
P0121,未明／規則弱點,是,,否,否,否,否,否,,,否,否,否,9,3,人工0／共識9／未解決3
P0122,需要對話上下文,否,是,,,,,,是,否,否,,,5,7,人工0／共識5／未解決7
P0123,多標籤Prompt,是,是,是,否,是,,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0124,高費用Prompt,,,,,,,,,,,,,0,12,人工0／共識0／未解決12
P0125,一般代表樣本,否,,否,,是,,,,否,否,是,是,7,5,人工0／共識7／未解決5
P0126,未明／規則弱點,是,否,否,否,否,否,否,否,是,否,否,否,12,0,人工0／共識12／未解決0
P0127,多標籤Prompt,,是,否,否,,,,,否,否,否,是,7,5,人工0／共識7／未解決5
P0128,多標籤Prompt,是,,否,否,否,是,否,,否,否,否,否,10,2,人工0／共識10／未解決2
P0129,一般代表樣本,,,,,否,,,否,否,,否,,4,8,人工0／共識4／未解決8
P0130,一般代表樣本,,是,,,否,否,是,是,否,是,否,,8,4,人工0／共識8／未解決4
P0131,一般代表樣本,,,,否,是,,否,,,否,否,否,6,6,人工0／共識6／未解決6
P0132,一般代表樣本,否,是,否,,否,否,,,,否,否,否,8,4,人工0／共識8／未解決4
P0133,多標籤Prompt,否,,否,是,,是,否,,否,否,否,否,9,3,人工0／共識9／未解決3
P0134,一般代表樣本,,是,否,否,否,,,是,否,,,否,7,5,人工0／共識7／未解決5
P0135,高費用Prompt,,是,否,否,否,,是,,否,,否,否,8,4,人工0／共識8／未解決4
P0136,需要對話上下文,,,是,否,否,,,,,否,否,否,6,6,人工0／共識6／未解決6
P0137,未明／規則弱點,否,,否,,否,否,否,,,否,否,否,8,4,人工0／共識8／未解決4
P0138,未明／規則弱點,,是,否,否,否,,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0139,未明／規則弱點,,,,,否,是,,,否,否,否,,5,7,人工0／共識5／未解決7
P0140,未明／規則弱點,,是,否,否,是,,否,,,否,否,否,8,4,人工0／共識8／未解決4
P0141,一般代表樣本,是,,否,否,是,,,,,否,否,否,7,5,人工0／共識7／未解決5
P0142,需要對話上下文,否,是,否,否,否,否,是,,否,否,否,否,11,1,人工0／共識11／未解決1
P0143,多標籤Prompt,否,是,否,否,,,,是,否,否,否,否,9,3,人工0／共識9／未解決3
P0144,一般代表樣本,是,否,否,否,是,,,,,否,否,否,8,4,人工0／共識8／未解決4
P0145,一般代表樣本,否,是,否,否,否,,是,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0146,多標籤Prompt,否,是,,,否,,,,,否,否,,5,7,人工0／共識5／未解決7
P0147,多標籤Prompt,,,是,否,否,,,,,否,否,否,6,6,人工0／共識6／未解決6
P0148,一般代表樣本,,是,,否,否,是,,,否,否,是,是,8,4,人工0／共識8／未解決4
P0149,需要對話上下文,否,,,,否,,否,是,否,否,否,否,8,4,人工0／共識8／未解決4
P0150,需要對話上下文,,否,否,,否,否,否,是,否,否,否,否,10,2,人工0／共識10／未解決2
P0151,一般代表樣本,否,是,否,否,否,,,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0152,未明／規則弱點,否,是,否,否,否,,,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0153,需要對話上下文,否,否,,,否,,否,,否,否,否,否,8,4,人工0／共識8／未解決4
P0154,一般代表樣本,,,否,是,否,是,,否,否,,否,,7,5,人工0／共識7／未解決5
P0155,一般代表樣本,,,是,否,,是,,,否,否,,否,6,6,人工0／共識6／未解決6
P0156,一般代表樣本,否,是,是,否,否,否,否,,,否,否,否,10,2,人工0／共識10／未解決2
P0157,未明／規則弱點,否,是,否,,否,否,,,,否,否,,7,5,人工0／共識7／未解決5
P0158,多標籤Prompt,是,是,否,否,是,,否,否,否,否,,,9,3,人工0／共識9／未解決3
P0159,多標籤Prompt,是,是,否,否,否,,,否,,否,否,,8,4,人工0／共識8／未解決4
P0160,多標籤Prompt,,是,否,,否,,,,否,,否,否,6,6,人工0／共識6／未解決6
P0161,多標籤Prompt,是,否,否,否,否,是,,,否,否,否,否,10,2,人工0／共識10／未解決2
P0162,一般代表樣本,,是,,否,是,否,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0163,未明／規則弱點,,否,否,,否,是,否,,否,否,否,,8,4,人工0／共識8／未解決4
P0164,未明／規則弱點,否,是,否,否,否,否,是,否,,否,否,否,11,1,人工0／共識11／未解決1
P0165,一般代表樣本,否,是,,否,,,,,否,,否,否,6,6,人工0／共識6／未解決6
P0166,多標籤Prompt,否,是,否,否,是,,否,否,,否,否,否,10,2,人工0／共識10／未解決2
P0167,一般代表樣本,否,,否,,是,,,,否,否,是,,6,6,人工0／共識6／未解決6
P0168,高費用Prompt,,是,否,,否,,,,否,,否,否,6,6,人工0／共識6／未解決6
P0169,多標籤Prompt,否,是,否,,否,,,,否,否,,否,7,5,人工0／共識7／未解決5
P0170,需要對話上下文,,是,,否,否,是,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0171,未明／規則弱點,否,,否,,否,是,,否,否,否,否,否,9,3,人工0／共識9／未解決3
P0172,Codex內部提示,否,是,是,否,否,否,是,否,否,,否,否,11,1,人工0／共識11／未解決1
P0173,一般代表樣本,,,,,,,,,,,,,0,12,人工0／共識0／未解決12
P0174,高費用Prompt,,,否,否,否,是,否,,否,否,,否,8,4,人工0／共識8／未解決4
P0175,未明／規則弱點,,,,,否,否,否,是,否,否,否,否,8,4,人工0／共識8／未解決4
P0176,未明／規則弱點,,否,是,否,否,是,否,,否,否,否,否,10,2,人工0／共識10／未解決2
P0177,一般代表樣本,,,,,否,否,否,是,否,否,否,否,8,4,人工0／共識8／未解決4
P0178,多標籤Prompt,,,,否,是,,否,,,否,否,否,6,6,人工0／共識6／未解決6
P0179,需要對話上下文,,是,,否,否,否,否,是,否,否,否,否,10,2,人工0／共識10／未解決2
P0180,一般代表樣本,否,是,,否,否,否,,否,,否,否,否,9,3,人工0／共識9／未解決3
P0181,需要對話上下文,否,是,否,否,否,是,,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0182,一般代表樣本,,是,否,,否,,,,否,,否,否,6,6,人工0／共識6／未解決6
P0183,多標籤Prompt,是,是,否,否,是,否,,,,否,否,,8,4,人工0／共識8／未解決4
P0184,需要對話上下文,,是,,,否,,,是,否,否,否,,6,6,人工0／共識6／未解決6
P0185,一般代表樣本,否,是,否,否,否,,否,,否,否,否,否,10,2,人工0／共識10／未解決2
P0186,一般代表樣本,否,是,否,,否,是,,否,否,,否,否,9,3,人工0／共識9／未解決3
P0187,需要對話上下文,是,,否,否,否,,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0188,高費用Prompt,否,是,否,否,否,,,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0189,高費用Prompt,否,,否,,否,是,否,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0190,多標籤Prompt,,否,是,否,否,否,否,否,是,否,否,否,11,1,人工0／共識11／未解決1
P0191,需要對話上下文,是,,否,否,否,,,,否,否,否,,7,5,人工0／共識7／未解決5
P0192,一般代表樣本,,是,,否,否,是,,,否,否,是,是,8,4,人工0／共識8／未解決4
P0193,一般代表樣本,否,是,否,否,否,,否,是,否,否,,否,10,2,人工0／共識10／未解決2
P0194,一般代表樣本,,是,,,,否,是,是,否,是,否,,7,5,人工0／共識7／未解決5
P0195,一般代表樣本,,,否,,否,,,是,否,否,否,,6,6,人工0／共識6／未解決6
P0196,高費用Prompt,否,是,,否,否,否,是,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0197,高費用Prompt,否,是,是,否,否,是,是,,否,否,,否,10,2,人工0／共識10／未解決2
P0198,多標籤Prompt,,是,,,否,,是,是,否,是,否,,7,5,人工0／共識7／未解決5
P0199,Codex內部提示,否,,否,,否,否,否,,,,否,否,7,5,人工0／共識7／未解決5
P0200,Codex內部提示,是,否,否,否,否,,,,否,是,否,,8,4,人工0／共識8／未解決4
P0201,一般代表樣本,否,是,,否,否,否,是,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0202,未明／規則弱點,,,,,,,,,,,,,0,12,人工0／共識0／未解決12
P0203,一般代表樣本,是,,否,否,否,,,是,否,否,否,否,9,3,人工0／共識9／未解決3
P0204,一般代表樣本,否,否,否,是,否,是,否,否,否,否,否,,11,1,人工0／共識11／未解決1
P0205,多標籤Prompt,,是,,,,否,是,是,否,是,,,6,6,人工0／共識6／未解決6
P0206,高費用Prompt,,,,,,,,,,,,,0,12,人工0／共識0／未解決12
P0207,多標籤Prompt,,是,,否,否,是,,,否,否,是,是,8,4,人工0／共識8／未解決4
P0208,一般代表樣本,,是,否,否,否,,,否,,否,否,否,8,4,人工0／共識8／未解決4
P0209,一般代表樣本,否,否,是,否,否,是,否,否,否,否,否,否,12,0,人工0／共識12／未解決0
P0210,一般代表樣本,否,是,否,否,是,否,否,,否,否,否,否,11,1,人工0／共識11／未解決1
P0211,高費用Prompt,是,,否,否,否,是,,,否,否,否,,8,4,人工0／共識8／未解決4
P0212,一般代表樣本,,否,,否,是,否,否,,否,否,否,否,9,3,人工0／共識9／未解決3
P0213,Codex內部提示,,是,否,否,否,,,,否,是,否,,7,5,人工0／共識7／未解決5
P0214,一般代表樣本,,,,,,,,,,,,,0,12,人工0／共識0／未解決12
P0215,一般代表樣本,是,否,否,否,是,,否,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0216,未明／規則弱點,否,是,否,是,否,,,,,否,否,否,8,4,人工0／共識8／未解決4
P0217,一般代表樣本,,是,否,否,否,否,是,,否,否,否,否,10,2,人工0／共識10／未解決2
P0218,一般代表樣本,否,否,,,否,,否,,否,否,否,,7,5,人工0／共識7／未解決5
P0219,未明／規則弱點,否,否,否,是,是,否,否,否,否,否,否,否,12,0,人工0／共識12／未解決0
P0220,需要對話上下文,否,是,否,否,是,,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0221,一般代表樣本,,否,是,否,否,,否,是,否,否,否,否,10,2,人工0／共識10／未解決2
P0222,未明／規則弱點,,是,否,否,否,是,否,,否,否,,否,9,3,人工0／共識9／未解決3
P0223,多標籤Prompt,否,,否,,是,,否,,否,否,是,否,8,4,人工0／共識8／未解決4
P0224,多標籤Prompt,,,否,,否,是,,,否,,否,,5,7,人工0／共識5／未解決7
P0225,多標籤Prompt,,是,,否,否,是,,,否,否,是,是,8,4,人工0／共識8／未解決4
P0226,未明／規則弱點,否,,否,,是,,,,否,否,是,,6,6,人工0／共識6／未解決6
P0227,高費用Prompt,否,是,是,否,否,,是,,否,否,否,否,10,2,人工0／共識10／未解決2
P0228,一般代表樣本,否,是,,否,否,是,,,否,否,是,是,9,3,人工0／共識9／未解決3
P0229,一般代表樣本,否,,否,,是,,,否,否,否,,,6,6,人工0／共識6／未解決6
P0230,多標籤Prompt,,是,,,,,是,是,否,是,否,,6,6,人工0／共識6／未解決6
P0231,一般代表樣本,否,,否,,否,,是,,否,否,否,否,8,4,人工0／共識8／未解決4
P0232,一般代表樣本,,是,否,否,否,,否,否,,否,否,否,9,3,人工0／共識9／未解決3
P0233,一般代表樣本,否,,否,,,是,,,否,否,否,否,7,5,人工0／共識7／未解決5
P0234,一般代表樣本,否,是,,否,否,,是,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0235,未明／規則弱點,,,否,否,是,,否,是,否,否,,否,8,4,人工0／共識8／未解決4
P0236,一般代表樣本,否,,否,,否,否,否,是,,否,否,否,9,3,人工0／共識9／未解決3
P0237,多標籤Prompt,是,,否,否,是,否,否,,,否,否,否,9,3,人工0／共識9／未解決3
P0238,需要對話上下文,否,,否,,否,否,是,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0239,一般代表樣本,,是,,否,否,,,是,否,否,否,,7,5,人工0／共識7／未解決5
P0240,一般代表樣本,是,否,否,否,否,否,否,是,否,否,否,否,12,0,人工0／共識12／未解決0
P0241,高費用Prompt,否,是,否,否,否,否,是,否,否,否,否,否,12,0,人工0／共識12／未解決0
P0242,多標籤Prompt,否,否,否,是,否,是,,否,否,否,否,否,11,1,人工0／共識11／未解決1
P0243,多標籤Prompt,是,,否,否,否,,,是,否,否,否,否,9,3,人工0／共識9／未解決3
P0244,高費用Prompt,否,,,否,否,否,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0245,一般代表樣本,是,,,否,否,,否,是,否,否,否,,8,4,人工0／共識8／未解決4
P0246,一般代表樣本,否,是,否,,是,否,,是,否,否,否,否,10,2,人工0／共識10／未解決2
P0247,需要對話上下文,否,,否,,否,是,否,否,否,否,否,否,10,2,人工0／共識10／未解決2
P0248,高費用Prompt,,是,否,否,否,是,否,否,否,否,,否,10,2,人工0／共識10／未解決2
P0249,一般代表樣本,否,是,否,,否,否,是,,否,否,否,否,10,2,人工0／共識10／未解決2
P0250,未明／規則弱點,是,,否,否,否,否,,是,否,否,否,否,10,2,人工0／共識10／未解決2
P0251,多標籤Prompt,,是,,否,是,否,,,否,否,否,否,8,4,人工0／共識8／未解決4
P0252,多標籤Prompt,否,,,,否,否,,,,否,否,否,6,6,人工0／共識6／未解決6
P0253,多標籤Prompt,否,是,否,否,,,,是,否,否,否,否,9,3,人工0／共識9／未解決3
P0254,一般代表樣本,否,,,,否,是,否,,否,否,否,否,8,4,人工0／共識8／未解決4
P0255,一般代表樣本,否,是,否,否,否,否,,是,否,否,否,否,11,1,人工0／共識11／未解決1
P0256,多標籤Prompt,,是,,,,,是,是,否,是,否,,6,6,人工0／共識6／未解決6
P0257,一般代表樣本,是,,否,否,否,是,,,否,,否,,7,5,人工0／共識7／未解決5
P0258,高費用Prompt,否,是,是,否,否,,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0259,一般代表樣本,是,是,否,否,,,,是,否,否,否,否,9,3,人工0／共識9／未解決3
P0260,未明／規則弱點,否,是,是,否,否,否,否,,,否,,否,9,3,人工0／共識9／未解決3
P0261,未明／規則弱點,是,否,否,否,否,否,,是,否,否,,否,10,2,人工0／共識10／未解決2
P0262,多標籤Prompt,,是,否,否,,,,,否,否,是,是,7,5,人工0／共識7／未解決5
P0263,未明／規則弱點,,是,否,否,否,,,,否,否,,是,7,5,人工0／共識7／未解決5
P0264,一般代表樣本,否,是,否,否,否,否,,否,,否,否,否,10,2,人工0／共識10／未解決2
P0265,一般代表樣本,,是,否,否,,否,是,否,,否,否,否,9,3,人工0／共識9／未解決3
P0266,一般代表樣本,是,否,否,否,否,,否,否,,否,否,否,10,2,人工0／共識10／未解決2
P0267,Codex內部提示,否,否,否,是,是,否,否,,否,,否,否,10,2,人工0／共識10／未解決2
P0268,需要對話上下文,,否,,,是,,,,否,否,否,,5,7,人工0／共識5／未解決7
P0269,一般代表樣本,否,否,否,,,,否,否,否,否,否,否,9,3,人工0／共識9／未解決3
P0270,未明／規則弱點,否,,否,,否,是,否,,否,否,否,否,9,3,人工0／共識9／未解決3
P0271,高費用Prompt,否,,否,是,,,否,,,否,否,否,7,5,人工0／共識7／未解決5
P0272,高費用Prompt,否,是,否,否,否,否,是,,否,否,否,否,11,1,人工0／共識11／未解決1
P0273,高費用Prompt,否,是,,否,否,否,,,否,否,,,7,5,人工0／共識7／未解決5
P0274,多標籤Prompt,,,,,否,,否,是,否,否,,否,6,6,人工0／共識6／未解決6
P0275,一般代表樣本,否,否,是,否,否,,,,否,否,否,否,9,3,人工0／共識9／未解決3
P0276,未明／規則弱點,,,,,,,,,,,,,0,12,人工0／共識0／未解決12
