prompt_sha256,category
0029a79ee3673fef21ce97cb0ea040b903bd9cb8254b995a4de3239e1020025a,文件與寫作 > 翻譯
002e36bcf9d8c008efb3fa4fa407785acc7f9e9aa49f43ee358bb06a6fb2a4b6,AI與機器學習 > 文本分類與語意標註
003090db6cf03af118689521a1fe62600d6fef5d399669199ec199a424977edf,AI與機器學習 > 文本分類與語意標註
00315fd52755badbd5fdec16028c9640a1e409b52051a018a1fd4ccc9a109e89,教材與出題 > 題目生成
00337892d319713d053c765d4a0cf054252a68d799b804f13bae0d7f4c445f85,AI與機器學習 > 文本分類與語意標註
0035c8ac6663964fa4b17e18f165889b92ef8ea21839a182257b76c91c12ddcd,教材與出題 > 課綱約束核對
003739dffc005bb581b1855263aeb6fbbd3378a7272f42ad7a14093b2da32e0d,AI與機器學習 > 文本分類與語意標註
003889c407e879398e39a9e7ea1f116209716f9e22aff308fc23c7d3995b27e2,教材與出題 > 課綱約束核對
003ef749d55e0f88011fc224eeb4e68542e69cafe2540798d431f42e98e82c5b,AI與機器學習 > 提示工程
004004cc7d9ce1535d30ba0ebf6c5796d1c7a188739b90fc276197cd4ac5f481,AI與機器學習 > 模型評測
00426aeb587b39e4f596ec9d1cb2accc9c68891fb338569c7b6de77b38e038e2,教材與出題 > 選擇題
00486226029dbd0b67f1e41b830fd186ed4d412f1bb492765c52705b5b56cbee,AI與機器學習 > 文本分類與語意標註
004a607d42d9c1fdb6a3fb9e7cfe0a73793a81bc7dc1851664aaa86c8994db06,AI與機器學習 > 文本分類與語意標註
004eb4d9f8f2e7671f0c783642f49b8b26807f1c518b6e23b53c9efa90f76721,教材與出題 > 題目生成
004f79912f70dcc09d899ef576a45c6902c36b0b2c2d4e127b2a7dc94b3377b0,AI與機器學習 > 文本分類與語意標註
004fe5ec1c272fa7db8ca4fbc953032d039aa619185f409bdc9fcf5ae6cea78a,生活與一般問答 > 日常對話
0050cb29ce31af59e0e4bf24cd006a34720f3bb0a0c588e2e7c82930bf83d93b,商業與投資 > 財經新聞與市場追蹤
0051c795a6c5b05df83670ed35a7e7781533d8a1587f1c136d8417a8f7cf9fc0,系統與維運 > 部署與服務設定
0054ef6031d7e60f4ad5c98b8d6444650eec242865eaa0cd4e3d97007eb6c974,AI與機器學習 > 文本分類與語意標註
005658f37a8384d41b87286d97a1b51aacf8ce2b2c871514733d8e7d7147fc9b,文件與寫作 > 摘要
00590ab98c6081d83c0b39260a064cfd0abc2c64720192b6a8261dfea25ae808,文件與寫作 > 公告板內容精簡
0059f43da6dc4d24c08f6f5cabedb72e33976da3d6e7969f0c61e213235841f5,其他 > 任務接續與流程執行
005a71979fdb378db35f4be7da28fae1d1b79430310b2ef91ea1cdb21c23f379,系統與維運 > 檔案提供與定位
00604fc13000a58c3d83d4faee54b5158f9c74a2dd517f1d3ef66df5239d1b3b,文件與寫作 > 企劃書與申請文件
0064e9e3949719870442f82e430d5bf59bc5cde1b180fb83a52d566af391ea78,程式開發 > 前端開發
006664fd1cf2b04d3ca1a3020a1eaf460487749ad44fd1040a7fb8137ec16116,系統與維運 > 權限問題
00671a7ae826dd4223b4ee4e2aa7ae956bb55054b23482bab25ac2c2ad8d5851,AI與機器學習 > 文本分類與語意標註
006861f9125d10caa909ec1bb881a6a0ec8977be6c45d96cf636b81cfe531144,其他 > 修改要求與修訂接續
006f4ca8efdec548cfe66604f8e8ee0e53cd107d36c9389e5cecb85b45c4182d,AI與機器學習 > 模型評測
007045ea2dda94241e124746b7a43d4facbc93b5c86f2f1a5ccc67daed729a8b,程式開發 > 提交與規格合規審查
0071bd264371e7fb10a4f1b8d4052555c2cb99fbb8f58685404e23e383053865,文件與寫作 > 標題與主旨處理
0073a3f9431c0e29f8dfef3cc4c5966abf66fa8d08ec2d61f5cdf9a81c9615a4,AI與機器學習 > AI代理與記憶系統
00766f9d5f7b0ebef925dab0731202c4d92ab8b7b3b7be5724e59d646c451d35,文件與寫作 > 文件成果獨立審核
007759791ad4c07708ad56ec476496c80d4fb1b60643783e72e0942f7e96cfed,文件與寫作 > PowerPoint與簡報製作
007785b6bc846ecdf78e7033e0269f3e1a81d85f59c67f9b9904c164985f8d0f,文件與寫作 > 摘要
007886a2ca9e2e41ac053f14123ebbb4ed7cb7e9d20140a6aafeb20891c7b68c,AI與機器學習 > 文本分類與語意標註
00795dfaebb8d3233f38aa11c907411248102e3f97cbb914a7d049583a079710,系統與維運 > 操作審批與風險審查
0079b25cd7bfb5530c9b4fcf08e332b493845f667ea5f1fe353661b4b746b903,AI與機器學習 > 文本分類與語意標註
007a3530b4f0c28a07a4d65a4eecb2f12306727feb87f4fb5d1eb439731c1fbc,文件與寫作 > 內容改寫
007df73641c0849d8922ea930c480bc5257cc90a5f43dd67d52d92c0dee5ba40,AI與機器學習 > 文本分類與語意標註
007f64118ccdb5d0198550be09d05d38b55f735a2fe986d291008c95008a06df,其他 > 結果核對與驗證追問
0080633a87e099c6fad3fed3dc83e1d2185f199bce5a49dfc83f1b72fc6accca,生活與一般問答 > 日常對話
0085d6d283eb11b91c94b37bbb3a18b1882e7ca0497bbe0f46bf01bf11f6fa14,教材與出題 > 課綱約束核對
0089d9dfd422c26713bed35dc074f77505ae815b1cfdb8864a0cfd2cf5e7a4a9,教材與出題 > 課綱約束核對
008a3aabd6eac6991bef52b55a884f3495d3071cb7347f2b147d58d81d13370e,AI與機器學習 > 文本分類與語意標註
008a4608197232e8627d1fc5da1f4fd3541f2d2d5f3280c429c1313bec5f04f8,學習與研究 > 研究計畫與提案
008ca25d918c6602221b4b2b24798608231dd239a92c65abb94ffbd325db77ae,AI與機器學習 > 文本分類與語意標註
008d4f5fb7e3609506270f5e126636318e326f29c527a09fcd5026f1a686aff1,數據分析 > 資料清理
008dc852629211be4a56b235f966536642b13ef6ea520bc365a1a8c937c839e2,其他 > 更新內容顯示問題
00928eb706209c140d047e66dd7377323f0e7b6bb432a660c0fa2b1ade05f831,文件與寫作 > 簡報講稿與旁白
0094bd45a7afb09f58b88ef7af156b6fcc034324d5b5aff93042980edb4fa231,AI與機器學習 > 文本分類與語意標註
0094fe09b5850a4e8c99098d7613761a282cc3beef7cc280cf6df8de863b995f,AI與機器學習 > 提示工程
009500d1183e99bf3db092a5f7963f8130251883254f3d38efd4f4a5f4ab2397,AI與機器學習 > 文本分類與語意標註
00956566884b56e34473d2c64035c70907f399ac99ca127e95880b622b63504c,AI與機器學習 > 既有AI代理設定與串接
00988ac952fe23cdd8a88d41f1068fab98985e2037b61b8383084cd589cd2f2f,AI與機器學習 > 文本分類與語意標註
009963fb03300842036451bb52faf3df5f83d804e05a2b4c3fa03bda2104e4ec,程式開發 > 程式碼審查與測試
009ad0415b05cf8458944a66a430c789c252a78803572d6978bf0f89a3bf4b33,系統與維運 > 權限問題
00a0b50c976ad12656ac263d0fa86d45042260b930419ec8ce05acf1f2637b97,AI與機器學習 > 文本分類與語意標註
00a4f46ffd8ded61297810c319453eaea94ac7caf0da55b08e345c375ac900f3,文件與寫作 > Word文件製作
00a58c2b5a9f871ca22dbd4f7ecca069a341fc9e4e5d9f25bf27ef3606650917,教材與出題 > 課綱約束核對
00a9cb8e2d465a6351c1e20d9892f564e267add495c3c9abc9ef16d38e412836,系統與維運 > 應用工具設定
00aa5e461832547065a66e94b6c03f1b4d71adf8a4b3517bfd83255897e74c26,其他 > 更新內容顯示問題
00aaa3426b36929fe7c0b52d4c6f1f353b7f76cd19aa15b4d2e64d7d10a470ee,生活與一般問答 > 路線與方向敘述
00aba0c85fa091e1867de88134dc2951350835d10e808786dad17743360d2ffc,系統與維運 > 瀏覽器與桌面操作
00ac7d7797e7332c3687d52d91a404a922e7fb759e7d1064d1a46542d1f388de,系統與維運 > 瀏覽器與桌面操作
00b032cff541039344c813fd80af6288de645c12da50024487b5e7e7eef915a1,教材與出題 > 課綱約束核對
00b0482c9c9187b8f45aa934f665e5d1e405e755f42398ff5d3528e796aa5b64,程式開發 > 提交與規格合規審查
00b1c4abad6d938f0755b4af7130e9f6f4b7cc914e81c51f85aa82ce527d615e,AI與機器學習 > 既有AI代理設定與串接
00b799da097113d400618b2d268674b317cc5631b086fcd46d5c595e574ee74e,教材與出題 > 課綱約束核對
00bafecaf0cca5f716124a1889da20f3534e362acc427041259cc50f48548ba3,生活與一般問答 > 一般知識
00bef9d3d3cfcc2c76174f08c0a9b744c8e0bb9851684df983dd3d79b358eac9,AI與機器學習 > 文本分類與語意標註
00c0491cf4b20636eb70a19bd6704c1e6c8c2a7d47e6411d206bd891beb55121,文件與寫作 > 標題與主旨處理
00c0fefe278c02db5f48398c5d6b735babae3661fdc3ac9e29f44dd36ba36ff3,程式開發 > 遊戲開發
00c2aa9b7626ea53767cb696d8ad045a1991d013aee657bc3358e50776dc4591,教材與出題 > 課綱約束核對
00c61c4459db8ba5386b9da17970fcf0f97700e24e933046991aaad6c3f8380e,教材與出題 > 課綱約束核對
00ca162c02e25052b497caf3f8bb85b82ec8bd0f88c949ff4105aa18b9485f4a,AI與機器學習 > 提示工程
00cacdd3328579f28d0fa409fff9871319b7e0f67fe5bd8a1316a3142aeb35a5,學習與研究 > 文獻搜尋與引用
00caee76eb52ca8082892bef60585f01771b40012e2ace2b05bafb40f96a9694,程式開發 > 前端開發
00cc911f0cfeae208d632669912d27b990819b27d6fa37f0a5533fe620e24f5b,程式開發 > API開發
00d120d921e4b0775393687080da1e72c7784cb2f573852ac5687f2b6d55706a,文件與寫作 > PowerPoint與簡報製作
00d167eea1a836e3149a9becb9d1e00ad12d6d980178b39702fb7aaffb427312,文件與寫作 > 翻譯
00d19e4d4cb252b87061a2e8f91889fc70b2a4085ad9dc5996ac89f748ebbdc1,程式開發 > 行動App與Flutter
00d207b21715523e8eb22d1af160cef1d2d36cee6b62e4d8bd9d368171c10e8d,資料庫 > Firebase與Firestore
00d6d36ca71971e6434c309b385a1aaecd7d887f85f2ec59ca23892269e025bd,教材與出題 > 題目生成
00d83d180c49d2ce0f6b84c19a86ee7c2181e7c52b962d803022feea3ea1f3c7,AI與機器學習 > 模型評測
00d8bf11776b7123cf209e31f17eebb8c9df83b3270dca6a98c8628e357a382c,AI與機器學習 > 建議內容安全審核
00d91fb166e768aff01fb00a41894c8a31bb19d7ff02a4ad0c42d751b5ed1e69,AI與機器學習 > 文本分類與語意標註
00dc1b7412fbe9ad76deb698554fc2e570fb970dc4fe85b727cde8cbf498f440,文件與寫作 > PowerPoint與簡報製作
00dc87de32040f74f86fefa8702db52661374b5a7a0061cd3b8ce38c91a3e8d3,程式開發 > 專案架構與程式重構
00ddf1dff3523057d19a070e299aae2eacdc13e8c100fabf14a32ec663b984ba,AI與機器學習 > 文本分類與語意標註
00e1250ab89a08409390b684836e07048455fcecba344e0dc2ddca0a6e1cbb3f,AI與機器學習 > 文本分類與語意標註
00e22dd0046f4a0cfcebe56543ad8d5919c452fdbeb3b8b32015cae0312522c4,AI與機器學習 > 文本分類與語意標註
00e53689f02785f595b1805f93f4ddb6af3cb13dba3bea98a5ad1a115659affe,教材與出題 > 概念抽取
00ea4103fb8ec6ca6c64722319615e7102f090a2126829d59677ce166025ff35,AI與機器學習 > 文本分類與語意標註
00eb3679f8f6a102abecc887c9731cd0b46c195b26ef99a63251375a9c762a9c,AI與機器學習 > 提示工程
00ee8ac3d9eda6b1cb6f4b50db1d656b0a485181dfb4c0eef73cdad8327e2439,AI與機器學習 > 文本分類與語意標註
00eefa3bceafe7ff07226650070ebc022251aaa7347b1f6527fee49354dd9547,AI與機器學習 > 文本分類與語意標註
00ef279e80b1d7e48c1fad61e7948f7924a60e515c79f1b3cd0192cba6ae0c4b,程式開發 > 遊戲開發
00f0cfe81f527b34d7729b6080ec4983ab4ce6a1c098c4a588de93b931d203b9,AI與機器學習 > AI代理與記憶系統
00f34f8131b3e9e3c150cc360023f15e3099967779e0a3ac83372fee518acd21,AI與機器學習 > 文字引導影像生成原理
00f48ba614679895b859d6dd904887dd51d02a731e20b172e1e277dd039a8f59,AI與機器學習 > 文本分類與語意標註
00f492def345aebe2a08a35de6c2e92ccea13eee126c32265cf9dc8fbcb24cd3,學習與研究 > 論文圖表解讀
00f4ddebf1852ff778ec22daf096edb9d76abc9a942c2b40317eaf1df6cfe3e3,AI與機器學習 > 模型評測
00f6431919ec4d9774de8703360ac4c8c1df64c1cdc17fdd5159178c2af16c0a,商業與投資 > 財經新聞與市場追蹤
00f83f6e8d23a2077470f77245afaec89a8b1566f2b4bf51ce59d279392ea774,AI與機器學習 > AI應用故障排查
00fc19dd00113ee9b27c226b09bb268fd00e3c03f2f4ee2bdfae89be29ea1580,AI與機器學習 > 模型評測
01069b046bc0cc4ed4cb6c8d40ce78bcbeee29ca8dd70ecc9c4caad3117250a8,AI與機器學習 > 文本分類與語意標註
0106f6d56a5e829f8fda97bd18a53b751fb14376eeb7d1c12e58098af644b9a8,文件與寫作 > 語句語氣與評分調整
0107e2560da8b0adce0b2e60f282cd79a9179ea789a14d3f81fb9945bea43738,AI與機器學習 > 執行紀錄摘要與記憶整理
0108f50201918ec8705ceedf504a620032a6a16c0173d26e083ccb430eb7bb3b,文件與寫作 > 對話標題與任務索引
01090c90e7a9827278a96f8a839d178b78e384c9e83a952a36e1de2f9e8984aa,程式開發 > 後端開發
010925b078bb67b337173a9b5200e6717c2dbd6192d55eb0650fc96fd4c7db93,文件與寫作 > 技術文件與操作手冊
010937fcd95ad89571b48d221b69184247491849f64ce63805834f20babdb766,教材與出題 > 課綱約束核對
010a5c86388395b76e5cbeab0f89a76a1c2a94f6c419cbe7d51563a48f840a92,文件與寫作 > 翻譯
0114e198af5b888e9bb288e9edd74014c3e47f030738c5f0492cbf2d8afd76c9,AI與機器學習 > 文本分類與語意標註
01159266d6704469a9303fa66ae1d29fa9445240e4fc1eecf89e8a36e33b7fce,程式開發 > 提交與規格合規審查
0116387c5357cf769e043528136847235f278c09028bedd5eb003a9ae11be950,程式開發 > Python
011716ec24072a3d855fb608fc30406b01553d0dfd37ececad7bd051eb9e8af3,程式開發 > 提交與規格合規審查
0117b17c6c238d1cdf0198d53fd38b4cb64a4998ce3794e1a66ab8fcad645342,學習與研究 > 文獻搜尋與引用
011a317d46304c59056d257dd0dea2d8f8a614cfb5299be0a9822688121001a5,AI與機器學習 > 文本分類與語意標註
011f40e044e9a0cb08ad72fe5b0b0c1638e56460933a6294de705ac47662f4f6,程式開發 > 行動App與Flutter
0121acde2eccca48ff7cb3d6f0e711535518050291f74d047766a6f56a1ceb48,文件與寫作 > 規格書與實作方案
0121db578756a5bbb5bdaa598ee39a88795e4ea07133e8cecf7c525c3953f278,商業與投資 > 財經新聞與市場追蹤
0123d17dbaeb8eca515856d25effd1d72035376b0603e19a58567047c1e06ae9,其他 > 更新內容顯示問題
0124fe044864e7f0712045ec3bbee02f56d71c990949285feaeb87cd48c2b592,其他 > 修改要求與修訂接續
01291b66d92ededac765f170322745b32a637e27b489e77bd5220f969c4fcb72,生活與一般問答 > 日常對話
012ab09a22836f0f1aada787b8a5ca30f8cab3747c8d65813c3c911a443b063d,AI與機器學習 > 個人化工作建議生成
012e36a63a0cc69fd680363191e7dec47c30c8e3e7cf3361887fba08b12e8036,數據分析 > 文本編碼與內容評分
012eac3f1aea600cce88a5f601cdb23ce674e83023b156b07dc2f5c88218c534,生活與一般問答 > 健康資訊諮詢
013847336ad334293bd08ffc088c01ef8c57a12827d8fa52aea143249dcbc6bb,生活與一般問答 > 動作表現與平衡狀況
0139677595f2f1ff374980dda754e09da2620e5b58e79c6e27a7833544d56087,AI與機器學習 > 資訊檢索與排序融合
013a21757e623001597a9b4a335a24f9cd31a2ca6843e7bf6440e40d353e6539,程式開發 > 前端開發
013b17168f340a80a36b18875f45650baae87d8043886e677c2e267a7fb10fb3,程式開發 > 遊戲開發
013cf54b56c8d39bbc8632b43ccea3e0f7c1641ccdeb8762d83e11e387f614f8,其他 > 修改要求與修訂接續
013e68c0b972563a409251cc49e5bbc161ed796780ddf079d11da718d95368ef,文件與寫作 > 對話標題與任務索引
013ea04207a2f9473dc7460faa93715207339b00a7c27021a673129f619469a6,系統與維運 > 權限問題
01410e81d16912e87a77f97988e2936d9e5f086eea37ffc42be898c3719efaf6,文件與寫作 > 影片製作與敘事規劃
01425664374537b1470665693a8f2ca489ccc489cf059c9ab85ff2b2e742156b,AI與機器學習 > 建議內容安全審核
0145196bc8fef28938d676545a2f6f95c0f3de6af7c8db7312100730ea8f94d3,商業與投資 > 財經新聞與市場追蹤
014ca895f6c721766f96fb74e8d36e872dbce6c9271894c670b4e80eeae77f39,學習與研究 > 文獻搜尋與引用
014cbace28de4e279a91246d4be333992754069f5772a07ed59615e133323c58,AI與機器學習 > 文本分類與語意標註
014cf7908e0c8318dd8c55a355c4222f880f4fb6f6088deeb6cbfb636f664272,AI與機器學習 > 文本分類與語意標註
014d9130b0d7b41958a07432cc718b9218949f6b37bd9b1730c4634fe5cb56d8,AI與機器學習 > 文本分類與語意標註
014deb65d286a41fad1983e923510fa15fb38ff0ac6cf918dbe93b9bc14afcbe,文件與寫作 > 圖片與視覺素材製作
014e32a3201d4d17cdd135d63e427805f7cce45a556a20e34301b5276755ab96,文件與寫作 > PowerPoint與簡報製作
014fd7f25f6608f18e0dec6a896ce39c13f082197ab471a1679d60dd8bf6f7e1,文件與寫作 > 對話標題與任務索引
01523497f470a04a86f831c91e5055295b4ed7a2afd2ea21b709001553184196,AI與機器學習 > 文本分類與語意標註
0156e3a07403efc802011d4a23777174fa665de3e945ca7798d3ac9142557603,AI與機器學習 > 模型評測
01571d1972002ff0a60f09e15b7e2c62f88677e5c6248adafe2be057e114d5e2,AI與機器學習 > 提示工程
015a9c0c8ee5ac7463159f90f625dd4a2c8ff1d4d95abdf2b216ed079ad2f92f,文件與寫作 > 訪談大綱與問題編排
015b5a551f2135f8e5ae8a2d3f09c781ea86ca4d551a82458389200ebe1e2ce4,AI與機器學習 > 文本分類與語意標註
015e5b0f3aecfec080f282d6188637a5408c7d71583afb3e0dfd1299ac973add,文件與寫作 > PowerPoint與簡報製作
0163bc41cb3d9edda1dd7b7a0596b67f497cb3b23bf71176d93a9981aef736eb,文件與寫作 > 會議紀錄與心智圖
01644d4f70c027b9e5277beff572cf8b58d2a6271c7acdc32dc5e495b5ecf770,程式開發 > 遊戲開發
0164f977c138e9483082bc55d0a0be540a068583e075abf2832db2b73ec71d4c,AI與機器學習 > 個人化工作建議生成
01653584e5f74dea46a0eabc7174e8c7014f63a5024ea93be99f6684c0609b21,AI與機器學習 > 建議內容安全審核
016e25d0e6310b9bc4df9914da562e278dc24caee652cd0652cbf3b3bb8d5181,AI與機器學習 > AI代理與記憶系統
017264b4b9b8d637e70f1c72750cb19277ed59e732d8d928691922b3a3f6e3f9,AI與機器學習 > 模型評測
0174daa897546792576b6d3736e8b19f7868b96c2ea29384647f2942e4197489,學習與研究 > 論文閱讀
01774e253cc61b903687446c78017dbceabd2a6dcc3121ce4eb08818037ceed1,AI與機器學習 > 文本分類與語意標註
0179ab51ef0ab205931271c7fb6ce6815a52c4f73ac86e1242456621eaf0c236,商業與投資 > 財經新聞與市場追蹤
017a483d16580993eb73384541f19b480a3ba5ab6353fc401c56972f5a4a55d5,AI與機器學習 > 文本分類與語意標註
017a921385cc83100e084b860c12fa3be8d6784ed58372e7c36fbc791cef08ed,文件與寫作 > 文件轉換與可編輯化
0180b0b269cd3c9263013d36b599c0a4c8d2dd98f15b4750100b2c4d0ce92bb5,AI與機器學習 > 文本分類與語意標註
01832351db212205669aeef3602f5ec263fa7255ff67a3d38ae7a9a3405a1cc4,生活與一般問答 > 日常對話
0185ba40f4f091488e14187ecde88f338e06b34b9acbf9c486b1b97dda963434,程式開發 > 提交與規格合規審查
01861847d9d45729af709775d22558e86c6108545cd5e92867121ce1891d4780,文件與寫作 > 文件閱讀與理解
01879967366f0236ccfbda97660565547af2bf8b1c51334eee594715e64312b7,AI與機器學習 > 提示工程
0188c1b68e4d98b238e484b3fe39b11c95268aef90729845242e0b4e1e7742db,AI與機器學習 > AI代理與記憶系統
01893aa80f654b599783039f33b97928b226a8f4279196f86fecfb1a3cd093ba,教材與出題 > 題目生成
018aced486060667a611e54cec6bb2b094edae2c1097fed2681583754d49bb6a,AI與機器學習 > 文本分類與語意標註
018ef3ec0485daa143d431cc5a5bd0d75e22fe27a55d0faa707ee5140d2330e7,教材與出題 > 課綱約束核對
018f903e96ae909021a691e1dd247b3a96bef1d610333d3c51455a2bd805bfe2,系統與維運 > 應用工具設定
0192b54c7b7241b97e2c34791fc65fd1143b6fe3ff628ef4902b289c1d8c3dc4,AI與機器學習 > 提示工程
01948da2c5e59cd2477a591525105cea0c1da5ab81961985fe0fbb879eb08510,文件與寫作 > PowerPoint與簡報製作
0197d891445221f2abb01a39b5f0ad6cbe83a4e1f6cc31fd6881aefce6dbc4bb,其他 > 更新內容顯示問題
019848e6eca53b1716ea5618ec680af96a0ee4910d3f6120d0aa8363b69ea9a9,AI與機器學習 > 文本分類與語意標註
019cdca08d2c6db0cebf013db505dbebee275b0d77dc24e81cec4bbf20ed9c7d,教材與出題 > 課綱約束核對
01a209ceb91517b2fede1b6a43155c8d96a61d9b8332618c7e6768b1022c6fe6,AI與機器學習 > 文本分類與語意標註
01a2c1d47a5fe8579a0300f9c0912e3e52ddaa0f4dc86c7080ebd3d8cb5f49b8,AI與機器學習 > 文本分類與語意標註
01a3dbfbe7eec9743eea55b14256bacfcf5327d1ad5c0e4bf9a52e9bbce1f41d,AI與機器學習 > 文本分類與語意標註
01a623b76fa6443e5911a4e3656aec8176aa0a2a6d327c516b54c70da5a7e642,AI與機器學習 > 文本分類與語意標註
01a775eeb01ff916f1f4fcd5b24c699e0a923a915f335721b98f3ef626d82459,文件與寫作 > 圖片與視覺素材製作
01a7b927e87ba0021b19cf503f5cb0b04d7a6285b81aad73f03039bbc2b7f5bc,AI與機器學習 > 建議內容安全審核
01acf7de722c7de27055a64f5c62178c216649bcb1de1fd2d5fe3fda73a80210,教材與出題 > 課綱約束核對
01ae3f53859e6925a8d14278537a1e0c9f95b0d796a9e715a0379a28f1c84b79,系統與維運 > 檔案提供與定位
01ae73ef6ec2ea8e8fda442dceafe7597b2a1f5e3cfb431b41b9003438b024ad,文件與寫作 > 文件閱讀與理解
01ae7d2c96f66ad1abf43922f97c43d8358bf016f1f725b62c6f69d76cff6464,AI與機器學習 > 文本分類與語意標註
01aeaeef32d8fb04429236bd8b1f41e431d433826fde634fa049bf2fa28aeac7,教材與出題 > 課綱約束核對
01af1a00bf0e5cf5bba9738dc7f0864eddf5f5dec58780674d728fe61b299e43,AI與機器學習 > 文本分類與語意標註
01b1b9266adbb482fe3beec8b942966ecb62df12daac56411bff15264a9e3bae,學習與研究 > 研究目標與假說資料
01b4770167842f70a358d1e7197fe2367c883ea82c3facfd1c0c29829c13a1c8,其他 > 任務接續與流程執行
01b5b7616b20094f0a65aaaa7bec90cfe8843b339743f6667cb162445c5abddd,文件與寫作 > 簡報視覺設計
01b93062a2aab0a462344d4ae1763c27afbc9212554beb7df96d5f9818943934,教材與出題 > 課綱約束核對
01b93eb1088bd1cdc96ac761bcdf305a1424791cbb1775cad2d584d688ea1483,程式開發 > 提交與規格合規審查
01ba0299fe3397e0bff6c0f72398d595d02320b71f2aee428e4667c819a04081,生活與一般問答 > 路線與方向敘述
01ba579d15b8ec7c890a0bbf05c0214c4e60e476734f87f37e13d23d171bec17,AI與機器學習 > 文本分類與語意標註
01bbce0aae7cbfd714f0de595dded927fdc0d25c91a9fdea97080f24a43a5bdb,教材與出題 > 題目生成
01bf4cf82d84b1368cc2c983ddb3eb61cc261e6224171a8f28460cc318237267,文件與寫作 > 格式整理
01bfbf35f691c343014a1b96c1838a1e23a867c47a4360bba321b3a3ebfd7012,文件與寫作 > 郵件內容處理
01c27e8d6821251a065a819b572407eb1087d06aa86e2d2adeb0e05e8bde0a44,文件與寫作 > 文件轉換與可編輯化
01c3372d808b497760172e449265b288027bae3b141a4b39101f0dc3cb0cd8be,文件與寫作 > 翻譯
01c3b18bcdb20f46c0846f7e86b0621577f4084867b0f72c51bccc8fd0673e0a,文件與寫作 > Email
01c7360fa53d6de54903e2772264d9f99ebb102d4a53887cc647798ad5ff0d3e,教材與出題 > 課綱約束核對
01d39de1a76178feed63581dc7a479edb458fc9ef15f6888f1ca33922d9ea6c5,商業與投資 > 財經新聞與市場追蹤
01d7f1350f1c3e89091421b131e929a5645fc9dd6d012be5f24bb8eb7b4e3f5c,AI與機器學習 > 文本分類與語意標註
01d9063f6eeedb23db84dcd5a07fe5d0332dcdd647e102718b13da507488ba5b,文件與寫作 > 語句語氣與評分調整
01ddb6d5456e9ffcd6c72b40b55a84bb6da2e45ee2ef835db5a776963784bc17,數據分析 > 採購規格編碼與分類
01ddf3d394a2c2f4c58c72bc09db784d5d407be5a3802f776b9ea8dd461c3cab,AI與機器學習 > 文本分類與語意標註
01e023b7a01970679972be4046e8c5dea415f6a81c880df8403a5cc2d4143a02,AI與機器學習 > 模型架構與推論流程
01e205dcf150481e0909b4c3ba7d402c66e57d26d9224d5d622d1026750de72e,文件與寫作 > 校對
01e26065256a60d7f49f88af8149517a44aa971a75c95dc995308176d6a21807,AI與機器學習 > 提示工程
01e2f9f79320a60b18a97cf1da924df03bb4786c2454ab0751d6cf6a71be6cfa,AI與機器學習 > 文本分類與語意標註
01e7ed4f9e0b5fb2d0c73349735e035e6687a96a3ebd2d3bbe381a11ca5e28d0,生活與一般問答 > 日常對話
01ea302c4c2328e843a617c513ca4d30a7d61e210ab4df42d40ba0542ebb41e2,程式開發 > Python
